iter	Passed	Remaining
0	2	296
1	4	235
2	5	188
3	6	155
4	7	135
5	8	125
6	8	116
7	9	108
8	10	103
9	10	98
10	11	94
11	12	89
12	12	85
13	13	81
14	14	79
15	14	77
16	15	75
17	16	73
18	16	71
19	17	69
20	17	67
21	18	65
22	19	64
23	19	62
24	20	61
25	21	60
26	21	59
27	22	57
28	23	56
29	23	55
30	24	53
31	24	52
32	25	51
33	26	51
34	26	49
35	27	48
36	28	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	35	37
49	36	36
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	39	31
56	40	30
57	41	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	22
67	47	22
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	66	0
99	67	0
